imdb_title_id,title,year,usa_gross_income
tt0000009,Miss Jerry,1894,12
tt0000574,The Story of the Kelly Gang,1906,
tt0001892,Den sorte drøm,1911,
tt0002101,Cleopatra,1912,
tt0002130,L'Inferno,1911,
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,
tt0002423,Madame DuBarry,1919,
tt0002445,Quo Vadis?,1913,
tt0002452,Independenta Romaniei,1912,
tt0002461,Richard III,1912,
tt0002646,Atlantis,1913,
tt0002844,Fantômas - À l'ombre de la guillotine,1913,
tt0003014,Il calvario di una madre,1913,
tt0003037,Juve contre Fantômas,1913,
tt0003102,Ma l'amor mio non muore...,1914,
tt0003131,Maudite soit la guerre,1914,
tt0003165,Le mort qui tue,1913,
tt0003167,Amore di madre,1914,
tt0003419,Lo studente di Praga,1913,
tt0003471,Traffic in Souls,1913,
tt0003489,Gli ultimi giorni di Pompei,1913,
tt0003637,Assunta Spina,1915,
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,
tt0003657,The Bargain,1914,
tt0003740,Cabiria,1914,
tt0003772,Cinderella,1914,
tt0003883,L'enfant de Paris,1913,
tt0003930,Fantômas contre Fantômas,1914,
tt0003973,A Florida Enchantment,1914,
tt0004026,Der Golem,1915,
tt0004066,Det hemmelighedsfulde X,1914,
tt0004099,"His Majesty, the Scarecrow of Oz",1914,
tt0004134,Hypocrites,1915,
tt0004150,In the Land of the Head Hunters,1914,
tt0004181,Judith of Bethulia,1914,
tt0004457,The Patchwork Girl of Oz,1914,
tt0004465,The Perils of Pauline,1914,
tt0004635,The Squaw Man,1914,
tt0004681,La madonnina del porto,1914,
tt0004707,Tillie's Punctured Romance,1914,
tt0004712,A tolonc,1915,
tt0004743,Uncle Tom's Cabin,1914,
tt0004766,The Virginian,1914,
tt0004825,The Wishing Ring: An Idyll of Old England,1914,
tt0004838,The Wrath of the Gods,1914,
tt0004872,Alias Jimmy Valentine,1915,
tt0004873,Alice in Wonderland,1915,
tt0004972,Nascita di una nazione,1915,
tt0005060,Carmen,1915,
tt0005078,The Cheat,1915,
tt0005149,The Coward,1915,
tt0005339,La vampira,1915,
tt0005402,The Golden Chance,1915,
tt0005529,Hævnens Nat,1916,
tt0005557,The Italian,1915,
tt0005680,Maciste,1915,
tt0005719,Martyrs of the Alamo,1915,
tt0005809,The Nigger,1915,
tt0005916,Posle smerti,1915,
tt0005951,Rapsodia satanica,1917,
tt0005960,La rigenerazione,1915,
tt0006206,I vampiri,1915,
tt0006327,Young Romance,1915,
tt0006333,"20,000 Leagues Under the Sea",1916,
tt0006509,The Children in the House,1916,
tt0006517,Civilization,1915,
tt0006589,The Devil's Needle,1916,
tt0006617,Dödskyssen,1916,
tt0006688,Flirting with Fate,1916,
tt0006731,Going Straight,1916,
tt0006736,The Good Bad-Man,1916,
tt0006745,Gretchen the Greenhorn,1916,
tt0006753,The Half-Breed,1916,
tt0006780,Hell's Hinges,1916,
tt0006809,His Picture in the Papers,1916,
tt0006826,Hoodoo Ann,1916,
tt0006864,Intolerance,1916,
tt0006886,Judex,1916,
tt0007047,The Matrimaniac,1916,
tt0007183,Pikovaya dama,1916,
tt0007257,Reggie Mixes In,1916,
tt0007260,The Return of Draw Egan,1916,
tt0007309,Schuhpalast Pinkus,1916,
tt0007338,Sherlock Holmes,1916,
tt0007340,Shoes,1916,
tt0007361,Snow White,1916,
tt0007367,The Social Secretary,1916,
tt0007522,Vingarne,1916,
tt0007558,Where Are My Children?,1916,
tt0007610,'49-'17,1917,
tt0007755,Bucking Broadway,1917,
tt0007801,Cleopatra,1917,
tt0007983,Furcht,1917,
tt0008011,A Girl's Folly,1917,
tt0008100,L'astronave,1918,
tt0008150,Joan the Woman,1916,
tt0008188,The Little American,1917,
tt0008196,The Little Princess,1917,
tt0008279,Desiderata,1917,
tt0008309,A Modern Musketeer,1917,
tt0008395,Otets Sergiy,1918,
tt0008443,The Poor Little Rich Girl,1917,
tt0008489,"Raffles, the Amateur Cracksman",1917,
tt0008499,Rebecca of Sunnybrook Farm,1917,
tt0008519,A Romance of the Redwoods,1917,
tt0008536,Satana likuyushchiy,1917,
tt0008634,Straight Shooting,1917,
tt0008652,A Tale of Two Cities,1917,
tt0008663,Terje Vigen,1917,
tt0008672,Thomas Graals bästa film,1917,
tt0008679,Tillie Wakes Up,1917,
tt0008687,Tom Sawyer,1917,
tt0008710,Tösen från Stormyrtorpet,1917,
tt0008775,Wild and Woolly,1917,
tt0008827,Amarilly of Clothes-Line Alley,1918,
tt0008843,Az aranyember,1919,
tt0008854,Gli occhi della mummia,1918,
tt0008879,I proscritti,1918,
tt0008891,L'uccello blu,1918,
tt0008930,Broadway Love,1918,
tt0008950,Sangue gitano,1918,
tt0009014,La decima sinfonia,1918,
tt0009062,L'allegra prigione,1917,
tt0009086,The Forbidden City,1918,
tt0009150,Cuori del mondo,1918,
tt0009153,Indemoniato,1918,
tt0009241,Johanna Enlists,1918,
tt0009326,M'Liss,1918,
tt0009356,The Married Virgin,1918,
tt0009369,Mickey,1918,
tt0009440,Old Wives for New,1918,
tt0009475,A Pair of Silk Stockings,1918,
tt0009559,A Romance of Happy Valley,1919,
tt0009608,Shifting Sands,1918,
tt0009611,Charlot soldato,1918,
tt0009652,Stella Maris,1918,
tt0009682,Tarzan of the Apes,1918,3270000
tt0009701,Tih Minh,1918,
tt0009737,The Unbeliever,1918,
tt0009796,The Whispering Chorus,1918,
tt0009878,Anders als die Andern,1919,
tt0009892,Ravished Armenia,1919,
tt0009893,La principessa delle ostriche,1919,
tt0009894,El automóvil gris,1919,
tt0009900,Il ritorno al paradiso terrestre,1919,
tt0009915,Behind the Door,1919,
tt0009937,Mariti ciechi,1919,
tt0009968,Giglio infranto,1919,
tt0009976,The Busher,1919,
tt0010040,Daddy-Long-Legs,1919,
tt0010060,The Delicious Little Devil,1919,
tt0010071,Don't Change Your Husband,1919,
tt0010103,Eyes of Youth,1919,
tt0010137,"For Better, for Worse",1919,
tt0010162,Getting Mary Married,1919,
tt0010193,The Greatest Question,1919,
tt0010195,The Grim Game,1919,
tt0010208,Harakiri,1919,
tt0010219,Hawthorne of the U.S.A.,1919,
tt0010227,Heart o' the Hills,1919,
tt0010247,Il tesoro di Arne,1919,
tt0010267,The Hoodlum,1919,
tt0010281,Non vorrei essere un uomo,1918,
tt0010298,Ingmarssönerna,1919,
tt0010307,Per la patria,1919,
tt0010323,Il gabinetto del dottor Caligari,1920,8811
tt0010418,Male and Female,1919,
tt0010456,Meyer il berlinese,1919,
tt0010466,The Miracle Man,1919,
tt0010484,The Mother and the Law,1919,
tt0010559,Die Pest in Florenz,1919,
tt0010598,Præsidenten,1919,
tt0010600,La bambola di carne,1919,
tt0010635,The Roaring Road,1919,
tt0010662,Scarlet Days,1919,
tt0010680,The Sentimental Bloke,1919,
tt0010726,"Il lago d'oro, ovvero I ragni",1919,
tt0010755,Il canto del fiore rosso,1919,
tt0010806,Amore sulle labbra,1919,
tt0010821,Un affare misterioso,1919,
tt0010844,Victory,1919,
tt0010853,Wagon Tracks,1919,
tt0010879,Quando le nuvole volano via,1919,
tt0010890,The Wicked Darling,1919,
tt0010925,Yankee Doodle in Berlin,1919,
tt0010953,Algol - Tragödie der Macht,1920,
tt0010962,Anna Bolena,1920,
tt0010964,April Folly,1920,
tt0010969,L'atlantide,1921,
tt0011000,Pagine dal libro di Satana,1920,
tt0011130,Dr. Jekyll e Mr. Hyde,1920,
tt0011157,Erotikon,1920,
tt0011173,Fante-Anne,1920,
tt0011193,The Flapper,1920,
tt0011217,Il cammino nella notte,1921,
tt0011221,Genuine,1920,
tt0011237,Il Golem - Come venne al mondo,1920,
tt0011267,Headin' Home,1920,
tt0011294,L'Hirondelle et la Mésange,1924,
tt0011302,La giustizia del mare,1920,
tt0011317,Humoresque,1920,
tt0011344,L'uomo dal coltello a serramanico,1920,
tt0011358,Just Pals,1920,
tt0011369,Der Klosterjäger,1920,
tt0011370,Klostret i Sendomir,1920,
tt0011371,Due sorelle,1920,
tt0011387,The Last of the Mohicans,1920,
tt0011414,The Love Expert,1920,
tt0011415,The Love Flower,1920,
tt0011439,Il segno di Zorro,1920,
tt0011440,Markens grøde,1921,
tt0011474,Un pulcino nella stoppa,1920,
tt0011513,Nomads of the North,1920,
tt0011588,Pollyanna,1920,
tt0011607,La vedova del pastore,1920,
tt0011623,The Restless Sex,1920,
tt0011641,Romeo e giulietta sulla neve,1920,
tt0011647,The Round-Up,1920,
tt0011652,The Saphead,1920,
tt0011679,Sex,1920,
tt0011716,Something to Think About,1920,
tt0011723,"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,
tt0011741,Suds,1920,
tt0011742,Sumurum,1920,
tt0011753,Terror Island,1920,
tt0011779,The Toll Gate,1920,
tt0011833,Von morgens bis mitternachts,1920,
tt0011837,Das wandernde Bild,1920,
tt0011841,Agonia sui ghiacci,1920,
tt0011865,Why Change Your Wife?,1920,
tt0011870,Within Our Gates,1920,
tt0011904,The Ace of Hearts,1921,
tt0011908,Adventures of Tarzan,1921,
tt0011909,"Fragilità, sei femmina!",1921,
tt0011948,Be My Wife,1921,
tt0011960,Lo scoiattolo,1921,
tt0011979,The Blot,1921,
tt0012016,Buried Treasure,1921,
tt0012027,Camille,1921,
tt0012068,La commedia umana,1921,
tt0012122,Dream Street,1921,
tt0012125,Ducks and Drakes,1921,
tt0012134,Eldorado,1921,
tt0012136,Enchantment,1921,
tt0012187,Forbidden Fruit,1921,
tt0012190,I quattro cavalieri dell'Apocalisse,1921,9183673
tt0012249,Amleto,1921,
tt0012281,Hintertreppe,1921,
tt0012313,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,1921,
tt0012314,Das indische Grabmal erster Teil - Die Sendung des Yoghi,1921,
tt0012334,Johan,1921,
tt0012349,Il monello,1921,
