imdb_title_id,total_votes,mean_vote
tt0000009,154,5.9
tt0000574,589,6.3
tt0001892,188,6
tt0002101,446,5.3
tt0002130,2237,6.9
tt0002199,484,5.8
tt0002423,753,6.8
tt0002445,273,6.2
tt0002452,198,7.1
tt0002461,225,5.4
tt0002646,331,6.6
tt0002844,1944,6.6
tt0003014,948,7.2
tt0003037,1349,6.5
tt0003102,100,6.3
tt0003131,124,6.7
tt0003165,1050,6.6
tt0003167,187,6.1
tt0003419,1768,6.5
tt0003471,552,6
tt0003489,474,6.1
tt0003637,378,6.5
tt0003643,1105,6.8
tt0003657,144,6.5
tt0003740,3073,6.5
tt0003772,929,6.7
tt0003883,303,7.6
tt0003930,1161,6.5
tt0003973,202,6
tt0004026,1040,5.9
tt0004066,503,6.9
tt0004099,415,5.2
tt0004134,456,6.3
tt0004150,402,6
tt0004181,1239,7.2
tt0004457,382,5.6
tt0004465,939,7.5
tt0004635,879,6.1
tt0004681,178,6.4
tt0004707,3250,7.1
tt0004712,165,6.4
tt0004743,112,5.4
tt0004766,174,5.6
tt0004825,242,6.3
tt0004838,138,5.7
tt0004872,206,5.8
tt0004873,394,6.2
tt0004972,22213,6.4
tt0005060,894,6.8
tt0005078,2305,6.3
tt0005149,244,6.1
tt0005339,783,6
tt0005402,187,6.5
tt0005529,268,6.9
tt0005557,293,6.5
tt0005680,130,5.9
tt0005719,138,5.9
tt0005809,300,7
tt0005916,794,6.5
tt0005951,597,7
tt0005960,1110,6.7
tt0006206,4166,6.7
tt0006327,151,6
tt0006333,1501,6.9
tt0006509,559,6.5
tt0006517,283,6.1
tt0006589,123,7.1
tt0006617,199,6
tt0006688,143,6.4
tt0006731,609,6.4
tt0006736,166,6.6
tt0006745,479,6.5
tt0006753,147,6.8
tt0006780,836,6.5
tt0006809,127,6
tt0006826,837,6.7
tt0006864,13875,7.8
tt0006886,867,6.4
tt0007047,573,6.7
tt0007183,610,6.8
tt0007257,564,6.4
tt0007260,141,6.6
tt0007309,183,5.7
tt0007338,313,6.4
tt0007340,342,6.9
tt0007361,349,5.9
tt0007367,509,6.4
tt0007522,100,6.1
tt0007558,591,6.2
tt0007610,267,5.9
tt0007755,468,5.8
tt0007801,298,5.9
tt0007983,129,6.4
tt0008011,135,6.3
tt0008100,585,6.7
tt0008150,501,6.3
tt0008188,608,6.5
tt0008196,638,6.6
tt0008279,109,6.4
tt0008309,257,6.6
tt0008395,458,6.8
tt0008443,1266,6.8
tt0008489,130,6.8
tt0008499,770,7
tt0008519,727,6.6
tt0008536,147,6.7
tt0008634,372,6.2
tt0008652,108,6.2
tt0008663,1508,7.2
tt0008672,189,6.4
tt0008679,481,7
tt0008687,140,6.3
tt0008710,148,6.9
tt0008775,557,6.8
tt0008827,740,6.6
tt0008843,123,6
tt0008854,554,5.5
tt0008879,1518,6.9
tt0008891,782,6.7
tt0008930,116,6
tt0008950,267,6.1
tt0009014,134,6
tt0009062,515,6
tt0009086,281,6.2
tt0009150,906,6.8
tt0009153,112,6.1
tt0009241,594,6.5
tt0009326,119,6.5
